preset,benchmark,condition,n,err,acc,strict_prompt,loose_prompt,strict_inst,loose_inst,base_acc,delta
qwen3.5-2b-it,mmlu,dao,14042,0,55.65446517590087,,,,,54.94231590941462,0.7121492664862501
qwen3.5-2b-it,mmlu,baseline,14042,0,54.94231590941462,,,,,54.94231590941462,0.0
qwen3.5-2b-it,mmlu,legal,14042,0,57.69833357071642,,,,,54.94231590941462,2.7560176613018044
qwen3.5-2b-it,mmlu,logician,14042,0,55.83250249252243,,,,,54.94231590941462,0.8901865831078126
qwen3.5-2b-it,mmlu,neutral_long,14042,0,58.51730522717562,,,,,54.94231590941462,3.574989317761002
qwen3.5-2b-it,mmlu,military,14042,0,57.22119356217063,,,,,54.94231590941462,2.278877652756016
qwen3.5-2b-it,mmlu,confucian,14042,0,57.44908132744623,,,,,54.94231590941462,2.5067654180316126
qwen3.5-2b-it,bbh,baseline,6511,0,43.464905544463214,,,,,43.464905544463214,0.0
qwen3.5-2b-it,bbh,mohist,6511,0,41.007525725694975,,,,,43.464905544463214,-2.4573798187682385
qwen3.5-2b-it,bbh,dao,6511,0,29.61142681615727,,,,,43.464905544463214,-13.853478728305944
qwen3.5-2b-it,bbh,legal,6511,0,30.962985716479803,,,,,43.464905544463214,-12.50191982798341
qwen3.5-2b-it,bbh,military,6511,0,25.479956995853172,,,,,43.464905544463214,-17.984948548610042
qwen3.5-2b-it,bbh,neutral_long,6511,0,48.18000307172478,,,,,43.464905544463214,4.7150975272615625
qwen3.5-2b-it,bbh,logician,6511,0,32.85209645215789,,,,,43.464905544463214,-10.612809092305326
qwen3.5-2b-it,bbh,confucian,6511,0,37.19858700660421,,,,,43.464905544463214,-6.266318537859007
qwen3.5-2b-it,humaneval,mohist,164,0,20.121951219512198,,,,,17.682926829268293,2.4390243902439046
qwen3.5-2b-it,truthfulqa,mohist,817,0,47.00122399020808,,,,,43.81884944920441,3.182374541003675
qwen3.5-2b-it,humaneval,baseline,164,0,17.682926829268293,,,,,17.682926829268293,0.0
qwen3.5-2b-it,humaneval,legal,164,0,35.36585365853659,,,,,17.682926829268293,17.682926829268293
qwen3.5-2b-it,humaneval,confucian,164,0,33.53658536585366,,,,,17.682926829268293,15.853658536585368
qwen3.5-2b-it,truthfulqa,baseline,817,0,43.81884944920441,,,,,43.81884944920441,0.0
qwen3.5-2b-it,humaneval,dao,164,0,40.243902439024396,,,,,17.682926829268293,22.560975609756103
qwen3.5-2b-it,truthfulqa,confucian,817,0,50.06119951040392,,,,,43.81884944920441,6.2423500611995095
qwen3.5-2b-it,humaneval,logician,164,0,34.756097560975604,,,,,17.682926829268293,17.07317073170731
qwen3.5-2b-it,truthfulqa,legal,817,0,49.69400244798042,,,,,43.81884944920441,5.875152998776009
qwen3.5-2b-it,humaneval,military,164,0,20.73170731707317,,,,,17.682926829268293,3.0487804878048763
qwen3.5-2b-it,truthfulqa,dao,817,0,52.38678090575275,,,,,43.81884944920441,8.567931456548344
qwen3.5-2b-it,truthfulqa,logician,817,0,27.41738066095471,,,,,43.81884944920441,-16.401468788249698
qwen3.5-2b-it,humaneval,neutral_long,164,0,24.390243902439025,,,,,17.682926829268293,6.7073170731707314
qwen3.5-2b-it,truthfulqa,military,817,0,41.37086903304773,,,,,43.81884944920441,-2.4479804161566747
qwen3.5-2b-it,truthfulqa,neutral_long,817,0,45.65483476132191,,,,,43.81884944920441,1.8359853121175007
qwen3.5-4b-it,mmlu,mohist,14042,0,71.30750605326877,,,,,70.95143142002563,0.35607463324313926
qwen3.5-4b-it,mmlu,military,14042,0,71.40720695057684,,,,,70.95143142002563,0.45577553055120745
qwen3.5-4b-it,mmlu,logician,14042,0,67.46190001424299,,,,,70.95143142002563,-3.4895314057826425
qwen3.5-4b-it,mmlu,confucian,14042,0,65.26848027346533,,,,,70.95143142002563,-5.682951146560299
qwen3.5-4b-it,mmlu,neutral_long,14042,0,73.0878792194844,,,,,70.95143142002563,2.1364477994587787
qwen3.5-4b-it,mmlu,baseline,14042,0,70.95143142002563,,,,,70.95143142002563,0.0
qwen3.5-4b-it,mmlu,dao,14042,0,70.32474006551773,,,,,70.95143142002563,-0.6266913545078978
qwen3.5-4b-it,mmlu,legal,14042,0,71.63509471585245,,,,,70.95143142002563,0.6836632958268183
qwen3.5-4b-it,bbh,baseline,6511,0,56.627246198740586,,,,,56.627246198740586,0.0
qwen3.5-4b-it,bbh,mohist,6511,0,58.7774535401628,,,,,56.627246198740586,2.1502073414222167
